customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9367-UKCCS,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.01,384.21,No
9772-AVNHF,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,106.03,1628.11,No
4978-HXRKJ,Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.26,1094.51,No
3367-JYGZY,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.91,548.16,Yes
4376-BTKKF,Female,0,No,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),100.31,3799.33,No
9553-RCHXX,Female,1,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),102.27,1324.33,No
1565-TCZAF, Female ,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),75.69,5466.78,Yes
3547-NQPZU,Male,0,Yes,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,445.26,No
3237-YHNVC,Female,0,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,90.11,2877.9,No
3999-ZSENK,Female,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.37,1982.03,No
5703-JDWBD,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.99,843.81,No
7028-YTERU,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,109.25,2945.24,Yes
8803-YQQUV,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),102.91,1653.45,No
2221-KLBGP,Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,,106.18,5098.23,Yes
1825-VNTVJ,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.22,2077.4,No
5078-KUMZR,Female,0,No,Yes,26,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,81.03,2108.16,No
2904-XUVZW,Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,107.83,4744.9,No
8788-BKYAG,Male,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),42.24,2072.06,No
2575-LZBHM,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),63.24,1217.76,No
5885-UWAZD,Male,1,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.67,909.42,No
1161-TUUSP,Female,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.01,246.4,No
2201-RYXZF,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,41.04,1028.28,No
4486-XPDCJ,Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),66.76,2278.18,No
9289-ZERGA,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.81,219.89,No
5616-WLCEK,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,118.75,1001.43,Yes
4851-WCQWK,Female,0,Yes,Yes,72,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.89,5812.93,Yes
4091-GARGB,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.62,2676.32,No
7164-AMWFG,Female,1,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,114.02,2277.49,Yes
3970-MGSAT,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,95.78,2746.65,Yes
1184-VCHBU,Male,0,Yes,No,40,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,,81.17,3249.74,No
2029-NAAPH,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,103.56,1960.92,No
1303-YFVYP,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),104.58,2643.45,No
1948-PVPDM,Male,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.02,105.67,Yes
6361-QQEBR,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),,421.13,No
1831-TCDPG,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),96.0,876.42,No
5307-MSQBT,Female,0,No,No,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,76.85,5534.56,No
3552-LCPNU,Male,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.89,110.76,No
2260-DTFEC,Male,0,No,No,30,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.57,2354.63,No
7696-RURGP,Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.59,7748.28,No
1909-RBZQL,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,106.69,878.61,No
1703-MJBJH,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),94.17,6766.2,No
3976-DMBMR,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.43,1265.45,No
3965-RTEXD,Female,0,No,Yes,25,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,80.78,2016.26,No
8654-RAMUJ,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.57,176.27,No
1136-VANBQ,Female,1,Yes,Yes,54,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),61.43,3300.53,No
9619-CWYEF,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),113.63,1583.99,No
9896-KJVMA,Male,1,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.4,2063.58,No
6192-PSEBV,Female,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.07,1553.16,No
6452-XWDZB,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.25,308.77,No
8754-KCSJQ,Male,0,No,Yes,7,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),95.19,681.57,No
1546-TYPVH,Female,0,Yes,No,43,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,65.24,2807.14,Yes
2153-LAWNM,Female,1,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,40.17,670.29,No
7087-XKJEY,Female,1,No,Yes,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,105.24,2817.79,No
1368-RBLDF,Female,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.92,6303.26,No
5821-EBQGD,Male,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.82,1983.13,No
6243-LPQGQ,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.87,2804.96,Yes
8532-GZCQT,Female,0,No,No,47,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,65.09,3050.27,No
3525-NZBUQ,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.2,866.5,No
6240-XQZLR,Female,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,3435.18,Yes
8299-YRYRA,Male,0,Yes,Yes,56,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),72.69,4074.88,No
4388-DRQTG,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),83.99,3884.86,No
9803-FRWAF,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,102.83,2855.94,No
9232-HCSBQ,Male,0,No,Yes,64,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.34,4116.03,No
6240-FCCBE,Female,0,No,No,15,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.3,995.23,No
3543-WCBFL,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,109.42,1541.86,No
9506-VDNTC,Female,0,Yes,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),78.47,1475.75,No
1084-VNJRH,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.9,682.39,No
5598-HYTQA,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.73,2573.13,No
8141-CWCBC,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),79.01,5733.19,No
4040-YTEQS,Male,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,70.69,2338.02,No
4063-ZAFMZ,Male,0,No,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.33,3698.21,No
4597-AGZJL,Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,85.77,4286.72,No
8566-GCKCP,Female,0,No,No,4,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),81.04,324.89,Yes
2230-DYYFZ,Female,0,Yes,No,27,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.73,1391.37,No
1635-PGEMC,Male,0,No,No,44,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,75.86,3311.2,No
9464-RVGRE,Male,0,No,Yes,19,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,78.04,1486.91,No
2776-JPWNV,Male,0,No,No,68,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),105.84,7201.26,Yes
5565-PEZBP,Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,101.44,2140.06,No
2617-CFCEJ,Male,1,Yes,No,41,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),79.01,3240.97,No
5946-QRWEC,Male,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),98.17,83.77,No
9793-ZKSUZ,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),108.13,1809.46,No
4549-RQHVE,Male,0,No,No,12,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.24,531.39,No
4155-WJYHV,Male,0,Yes,No,49,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),104.1,5094.46,No
7981-AEJMP,Female,1,Yes,No,62,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),55.93,3455.45,Yes
6190-NGJAW,Female,0,Yes,No,11,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),83.2,905.08,No
1869-AMNMU,Female,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),40.76,2152.09,No
3052-UZEXN,Male,0,No,No,18,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.06,1379.6,No
9736-HKKTJ,Female,0,Yes,Yes,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),43.46,636.05,No
9351-MYRXF,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.22,7943.25,No
6621-QWVKJ,Female,1,Yes,No,5,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.39,458.2,No
3039-ZTMJY,Male,1,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.73,2801.09,No
5860-TZAGM,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),101.72,1638.5,No
7343-VBDRJ,Female,0,Yes,No,44,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.8,3594.31,yes
1304-DMNDW,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),100.03,5032.31,No
8409-KVSHY,Female,0,Yes,No,59,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),76.09,4503.93,No
7747-SGPWW,Male,0,No,Yes,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,109.3,124.99,No
1287-TNDYX,Male,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.54,6212.3,Yes
8091-EHYKA,Male,1,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,79.78,962.76,No
6930-BYZSR,Male,1,No,No,16,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.73,1632.07,Yes
1087-PUCSP,Male,0,Yes,No,38,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.92,2884.43,No
1144-VYBLB,Male,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.57,1582.29,No
2528-ETSAR,Male,0,No,Yes,65,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),111.25,7222.43,No
8786-GSAXE,Male,1,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.88,2016.47,No
9668-NZRJK,Female,0,No,No,30,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),98.98,2974.66,No
9324-DJXKR,Female,0,No,No,35,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),72.9,2552.99,No
4193-BEDCP,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),101.49,7300.58,No
2859-AXALR,Male,0,Yes,Yes,24,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Electronic check,78.35,1865.14,No
1364-JGJNC,Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),37.48,543.37,No
2552-BVZKV,Male,1,No,Yes,39,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,89.21,,No
6546-UEULZ,Female,0,No,No,20,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,96.53,1943.75,No
1644-SKWTG,Male,0,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,44.05,705.63,No
8835-KYBET,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,42.05,3035.72,No
5152-REXNU,Male,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,106.99,4912.31,No
9509-XGPES,male,0,No,Yes,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),107.51,4388.89,Yes
9177-CCXXK,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,41.0,432.48,Yes
8833-ECJVF,Male,0,No,Yes,70,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.03,5895.35,Yes
4201-SUHZV,Male,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,84.07,4369.76,No
9181-HNJAA,Female,0,No,No,32,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.71,2202.21,No
