customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureSegment,SpendTier,TotalRevenue,TotalRevenueLog,ServiceCount,ContractRiskScore,AvgMonthlySpend
9762-JNYPU,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,92.95,1863.67,Yes,Regular,Medium,1863.67,7.5308393727218,2,3,93.18350000000001
2431-FWXLT,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.75,8556.6,No,Loyal,High,8556.6,9.05457505599192,6,1,118.84166666666667
8569-YJHPT,Male,0,No,No,52,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),73.27,3831.01,No,Loyal,Medium,3831.01,8.251144748690686,3,2,73.67326923076924
8379-HSMWM,Male,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.76,1755.54,Yes,Regular,Medium,1755.54,7.4711012440056574,3,3,92.39684210526316
4440-ZQGUX,Female,0,No,No,15,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.32,1255.12,No,Regular,Medium,1255.12,7.1357828838656285,6,1,83.67466666666665
6397-XJWVL,Male,0,Yes,No,37,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),88.91,3298.62,No,Regular,Medium,3298.62,8.101562589308974,5,1,89.15189189189189
7192-PPCMV,Female,1,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.94,736.72,No,New,High,736.72,6.603564348814605,3,3,105.24571428571429
6649-MUYME,Female,0,No,Yes,38,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,43.95,1669.78,Yes,Regular,Low,1669.78,7.4210458622377535,1,3,43.94157894736842
1239-YAARB,Male,0,No,Yes,7,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,75.43,529.16,No,New,Medium,529.16,6.273178847779971,3,2,75.5942857142857
8878-VDHVX,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,98.64,1687.61,No,Regular,High,1687.61,7.43166098428348,3,2,99.27117647058823
8160-VCFAW,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.56,2802.41,No,Loyal,Low,2802.41,7.938591812319691,1,3,38.92236111111111
5275-RCFWY,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.33,2457.23,No,Regular,High,2457.23,7.807196857758156,4,2,106.83608695652174
3990-VZECS,Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),100.25,3124.58,No,Regular,High,3124.58,8.047375144948953,3,3,100.79290322580646
7172-WHPKU,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,99.61,989.96,No,New,High,989.96,6.898674170245944,2,1,98.99600000000001
9300-BKKEX,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),100.93,578.21,No,New,High,578.21,6.361665106115835,4,1,96.36833333333334
9107-YMAAQ,Male,0,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,116.26,6756.79,No,Loyal,High,6756.79,8.818451192509087,5,1,116.49637931034482
5802-MMFKX,Female,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,74.23,2139.88,No,Regular,Medium,2139.88,7.66897223844347,4,2,73.78896551724138
2780-DSEMJ,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.16,502.39,No,New,Low,502.39,6.221365217585351,1,3,41.865833333333335
8664-FLBAE,Male,0,Yes,Yes,72,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,71.77,5153.81,No,Loyal,Low,5153.81,8.547685538351828,2,2,71.58069444444445
9367-UKCCS,Female,0,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),38.01,384.21,No,New,Low,384.21,5.953788640126981,1,3,38.421
9772-AVNHF,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,106.03,1628.11,No,Regular,High,1628.11,7.3957891324118865,3,2,108.54066666666667
4978-HXRKJ,Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.26,1094.51,No,Regular,Low,1094.51,6.998975287245798,2,3,39.089642857142856
3367-JYGZY,Male,0,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,44.91,548.16,Yes,New,Low,548.16,6.308389838029404,1,3,45.68
4376-BTKKF,Female,0,No,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),100.31,3799.33,No,Regular,High,3799.33,8.242843184049184,4,2,99.98236842105263
9553-RCHXX,Female,1,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),102.27,1324.33,No,Regular,High,1324.33,7.1894167640146485,3,1,101.87153846153845
1565-TCZAF,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),75.69,5466.78,Yes,Loyal,Medium,5466.78,8.606627962945181,6,3,75.9275
3547-NQPZU,Male,0,Yes,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.25,445.26,No,Regular,Low,445.26,6.100901741806357,0,2,17.8104
3237-YHNVC,Female,0,Yes,Yes,32,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,90.11,2877.9,No,Regular,Medium,2877.9,7.96516355572619,6,3,89.934375
3999-ZSENK,Female,0,No,Yes,42,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.37,1982.03,No,Regular,Low,1982.03,7.592381256998401,2,3,47.19119047619048
5703-JDWBD,Female,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,37.99,843.81,No,Regular,Low,843.81,6.7391117500031505,2,1,38.355
7028-YTERU,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,109.25,2945.24,Yes,Regular,High,2945.24,7.988285060099481,6,3,109.08296296296295
8803-YQQUV,Male,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),102.91,1653.45,No,Regular,High,1653.45,7.411223906294559,5,1,103.340625
2221-KLBGP,Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,106.18,5098.23,Yes,Regular,High,5098.23,8.536844826921573,5,3,106.21312499999999
1825-VNTVJ,Female,0,Yes,No,21,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,99.22,2077.4,No,Regular,High,2077.4,7.639353645916335,4,3,98.92380952380952
5078-KUMZR,Female,0,No,Yes,26,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,81.03,2108.16,No,Regular,Medium,2108.16,7.654045042940169,2,3,81.08307692307692
2904-XUVZW,Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,107.83,4744.9,No,Regular,High,4744.9,8.465036366398673,4,3,107.83863636363635
8788-BKYAG,Male,0,Yes,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),42.24,2072.06,No,Loyal,Low,2072.06,7.63678105557698,2,2,42.2869387755102
2575-LZBHM,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),63.24,1217.76,No,Regular,Low,1217.76,7.1055892274066,2,2,64.09263157894736
5885-UWAZD,Male,1,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,37.67,909.42,No,Regular,Low,909.42,6.813906031496319,2,3,37.8925
1161-TUUSP,Female,0,Yes,Yes,3,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,72.01,246.4,No,New,Low,246.4,5.511006459958388,4,3,82.13333333333334
2201-RYXZF,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,41.04,1028.28,No,Regular,Low,1028.28,6.93661480766269,1,2,41.1312
4486-XPDCJ,Female,0,Yes,Yes,34,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),66.76,2278.18,No,Regular,Low,2278.18,7.731571008136423,4,1,67.00529411764705
9289-ZERGA,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.81,219.89,No,New,Low,219.89,5.397664840048735,2,2,43.977999999999994
5616-WLCEK,Female,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,118.75,1001.43,Yes,New,High,1001.43,6.910182331306406,6,2,125.17875
4851-WCQWK,Female,0,Yes,Yes,72,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.89,5812.93,Yes,Loyal,Medium,5812.93,8.66801204114266,2,3,80.7351388888889
4091-GARGB,Female,0,No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.62,2676.32,No,Regular,High,2676.32,7.892571573171319,6,3,111.51333333333334
7164-AMWFG,Female,1,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,114.02,2277.49,Yes,Regular,High,2277.49,7.731268221841991,5,2,113.87449999999998
3970-MGSAT,Female,0,Yes,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,95.78,2746.65,Yes,Regular,High,2746.65,7.918501279873961,3,3,94.71206896551725
1184-VCHBU,Male,0,Yes,No,40,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,81.17,3249.74,No,Regular,Medium,3249.74,8.086637941713516,5,1,81.2435
2029-NAAPH,Male,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,103.56,1960.92,No,Regular,High,1960.92,7.581678864574323,4,2,103.20631578947369
1303-YFVYP,Male,0,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Bank transfer (automatic),104.58,2643.45,No,Regular,High,2643.45,7.880218383161476,3,2,105.738
1948-PVPDM,Male,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.02,105.67,Yes,New,Low,105.67,4.669739956637391,0,3,21.134
6361-QQEBR,Female,0,No,No,5,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),82.3,421.13,No,New,Medium,421.13,6.045313323468274,4,2,84.226
1831-TCDPG,Female,0,Yes,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),96.0,876.42,No,New,High,876.42,6.7769857830927895,3,1,97.38
5307-MSQBT,Female,0,No,No,72,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,76.85,5534.56,No,Loyal,Medium,5534.56,8.618948014370035,4,2,76.86888888888889
3552-LCPNU,Male,0,No,Yes,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.89,110.76,No,New,Low,110.76,4.716353714948706,0,1,22.152
2260-DTFEC,Male,0,No,No,30,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.57,2354.63,No,Regular,Medium,2354.63,7.764563486598081,3,3,78.48766666666667
7696-RURGP,Female,0,Yes,No,72,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.59,7748.28,No,Loyal,High,7748.28,8.955355214805815,4,3,107.615
1909-RBZQL,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,106.69,878.61,No,New,High,878.61,6.779478627419984,3,2,109.82625
1703-MJBJH,Female,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),94.17,6766.2,No,Loyal,Medium,6766.2,8.819842690989805,3,2,93.975
3976-DMBMR,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.43,1265.45,No,Regular,Low,1265.45,7.143972989783618,1,2,39.5453125
3965-RTEXD,Female,0,No,Yes,25,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,80.78,2016.26,No,Regular,Medium,2016.26,7.6094954339601015,1,3,80.6504
8654-RAMUJ,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),38.57,176.27,No,New,Low,176.27,5.177673994025693,1,3,44.0675
1136-VANBQ,Female,1,Yes,Yes,54,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),61.43,3300.53,No,Loyal,Low,3300.53,8.102141276372079,3,2,61.12092592592593
9619-CWYEF,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),113.63,1583.99,No,Regular,High,1583.99,7.368333377143213,5,3,113.14214285714286
9896-KJVMA,Male,1,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.4,2063.58,No,Regular,Low,2063.58,7.632682094878108,1,1,44.86043478260869
6192-PSEBV,Female,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.07,1553.16,No,Regular,Low,1553.16,7.3486904857305255,2,3,37.881951219512196
6452-XWDZB,Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),44.25,308.77,No,New,Low,308.77,5.7358300866249765,2,1,44.11
8754-KCSJQ,Male,0,No,Yes,7,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),95.19,681.57,No,New,High,681.57,6.525865085902341,4,1,97.36714285714287
1546-TYPVH,Female,0,Yes,No,43,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Mailed check,65.24,2807.14,Yes,Regular,Low,2807.14,7.940277621452713,3,2,65.28232558139534
2153-LAWNM,Female,1,Yes,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,40.17,670.29,No,Regular,Low,670.29,6.509201234364215,1,2,39.428823529411765
7087-XKJEY,Female,1,No,Yes,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,105.24,2817.79,No,Regular,High,2817.79,7.9440629938376635,6,2,104.36259259259259
1368-RBLDF,Female,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,104.92,6303.26,No,Loyal,High,6303.26,8.748980874342042,6,3,105.05433333333333
5821-EBQGD,Male,0,No,Yes,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.82,1983.13,No,Loyal,Low,1983.13,7.592935809891751,2,3,40.47204081632653
6243-LPQGQ,Female,1,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,107.87,2804.96,Yes,Regular,High,2804.96,7.939501005393303,5,3,107.88307692307693
8532-GZCQT,Female,0,No,No,47,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,65.09,3050.27,No,Regular,Low,3050.27,8.023313176376389,3,2,64.89936170212766
3525-NZBUQ,Female,0,No,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.2,866.5,No,Regular,Low,866.5,6.765615511821014,1,3,30.946428571428573
6240-XQZLR,Female,0,No,Yes,29,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),118.75,3435.18,Yes,Regular,High,3435.18,8.142115668227946,5,3,118.45448275862068
8299-YRYRA,Male,0,Yes,Yes,56,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),72.69,4074.88,No,Loyal,Medium,4074.88,8.312841953281165,3,2,72.76571428571428
4388-DRQTG,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),83.99,3884.86,No,Regular,Medium,3884.86,8.265099602525668,4,1,84.45347826086957
9803-FRWAF,Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,102.83,2855.94,No,Regular,High,2855.94,7.957506400960195,4,1,101.99785714285714
9232-HCSBQ,Male,0,No,Yes,64,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,64.34,4116.03,No,Loyal,Low,4116.03,8.32288730860272,3,3,64.31296875
6240-FCCBE,Female,0,No,No,15,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.3,995.23,No,Regular,Low,995.23,6.903978154620605,2,3,66.34866666666667
3543-WCBFL,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,109.42,1541.86,No,Regular,High,1541.86,7.341393115907135,5,2,110.13285714285713
9506-VDNTC,Female,0,Yes,No,19,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),78.47,1475.75,No,Regular,Medium,1475.75,7.297599006187345,4,2,77.67105263157895
1084-VNJRH,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),41.9,682.39,No,Regular,Low,682.39,6.527065706855373,1,3,42.649375
5598-HYTQA,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),35.73,2573.13,No,Loyal,Low,2573.13,7.85326689193124,2,3,35.73791666666667
8141-CWCBC,Female,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),79.01,5733.19,No,Loyal,Medium,5733.19,8.654201781576237,2,2,79.62763888888888
4040-YTEQS,Male,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,70.69,2338.02,No,Regular,Low,2338.02,7.757487317210298,2,1,70.8490909090909
4063-ZAFMZ,Male,0,No,Yes,51,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),72.33,3698.21,No,Loyal,Medium,3698.21,8.215874562321547,2,3,72.51392156862745
